TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
45,296875	68,8	0	4	1257,125	50	17,65	92	100,40625	24,71875	139903625	945,125	-25,3961658	-49,2429642	5899	
46,09765625	72,8	0	4	1277,75	66	29,25	92	100,40625	24,71875	139903625	945,125	-25,3956993	-49,2425661	5448	
46,796875	74,8	0	4	1283,5	63	33,75	92	100,40625	24,71875	139903650	945,125	-25,3956993	-49,2425661	7453	
47,19921875	73,6	0	4	1303,75	59	29,8	92	100,40625	24,71875	139903650	946,5	-25,3956121	-49,2424851	6265	
47,8984375	74,4	0	4	1304,75	59	31,05	92	100,40625	24,71875	139903690	946,5	-25,3955298	-49,2424032	5546	
48,3984375	78,4	0	4	1334	65	32,55	92	100,40625	24,71875	139903690	947,625	-25,3954413	-49,2423176	5486	
48	0	0	4	1321,5	0	4,3	92	100,40625	24,71875	139903690	948,25	-25,3953498	-49,2422313	7408	
47,8984375	0	0	4	1306,875	0	0	92	100,40625	24,71875	139903715	948,25	-25,3953498	-49,2422313	6104	
47,19921875	0	0,8	4	1285	0	0	92	100,40625	24,71875	139903715	947,875	-25,3952644	-49,2421454	5964	
46,59765625	0	0,8	4	1274,375	0	0	92	100,53125	24,71875	139903730	947,5	-25,3950847	-49,2419756	5843	
45,3984375	0	8,8	4	1238,125	0	0	92	100,53125	24,71875	139903730	947,5	-25,3950847	-49,2419756	7580	
44,59765625	0	11,2	4	1176,75	0	0	92	100,53125	24,71875	139903780	947,5	-25,3949889	-49,2418908	6027	
43,09765625	0	3,6	3	1599	0	0	92	100,53125	24,71875	139903780	947,5	-25,3949889	-49,2418908	5684	
42	0	1,6	3	1562,375	0	0	92	100,53125	24,90625	139903795	947,5	-25,3948197	-49,2418124	5792	
41,3984375	0	0,8	3	1538	0	0	92	100,53125	24,90625	139903795	947,5	-25,3948197	-49,2418124	7580	
40,59765625	0	14,8	3	1507,375	0	0	92	100,53125	24,90625	139903795	947,5	-25,3945711	-49,2415056	6027	
37,8984375	0	13,6	3	1410,5	0	0	92	100,25	24,90625	139903830	946,625	-25,3945711	-49,2415056	5684	
35,5	0	9,2	3	1313,75	0	0	92	100,25	24,90625	139903830	946,5	-25,3944048	-49,2413716	5792	
34,19921875	0	4,8	3	1267,5	0	0	92	100,25	24,90625	139903850	946,5	-25,3944048	-49,2413716	7580	
33,19921875	0	17,6	3	1241,5	0	0	92	100,25	24,90625	139903850	944,375	-25,3942722	-49,24124	6027	
31,69921875	0	18,4	3	1416,375	0	0	92	100	24,90625	139903870	943,875	-25,3941407	-49,2411225	5684	
28,69921875	0	18,4	2	1442,25	0	0	92	100	24,90625	139903870	943,875	-25,3941407	-49,2411225	5792	
24,59765625	0	102	2	1236,25	0	0	92	100	24,71875	139903900	943,625	-25,3941407	-49,2411225	7580	
20,8984375	0	14,8	2	1056,125	0	0	92	100	24,71875	139903900	942,5	-25,3940223	-49,2410193	6027	
18,5	0	9,2	2	934	0	0	92	100	24,71875	139903910	942	-25,3939696	-49,2409746	5684	
18	0	9,2	2	916	0	0	92	100	24,71875	139903910	942	-25,3939696	-49,2409746	5792	
18,09765625	0	6,4	2	915,25	0	0	92	100	24,71875	139903910	942	-25,3938932	-49,2409032	7580	
18	0	102	2	909,25	0	0	92	100	24,71875	139903925	942	-25,3938581	-49,2408708	6027	
18,296875	0	12,4	2	932,125	0	0	92	100	24,71875	139903925	942	-25,3938581	-49,2408708	5684	
18,296875	0	17,2	2	923,25	0	0	92	100	24,90625	139903930	941,25	-25,3937948	-49,2408067	5792	
18	0	102	2	913,125	0	0	92	100	24,90625	139903930	941,25	-25,3937948	-49,2408067	7580	
17,59765625	0	102	2	893,75	0	0	92	100	24,90625	139903940	940,625	-25,3937258	-49,24074	6027	
16,796875	0	22,4	2	844,25	0	0	92	100	24,90625	139903940	940,5	-25,3936922	-49,2407102	5684	
15,5	0	23,6	2	785,25	0	0	92	100	24,90625	139903955	940,125	-25,3936587	-49,2406788	5792	
13,796875	0	102	2	703,25	1	0,15	92	100	24,90625	139903955	940	-25,3936239	-49,2406471	7580	
11,8984375	0	34,4	2	570,125	10	1,65	92	100	24,90625	139903965	939,875	-25,3935938	-49,2406205	6027	
9,19921875	0	28,8	1	604,125	12	2,95	92	100	24,90625	139903965	939,625	-25,3935684	-49,2405955	5684	
6,8984375	0	30	1	600,875	11	2,55	92	100	24,90625	139903965	939,375	-25,3935449	-49,2405725	5792	
4,796875	0	33,6	1	599,625	11	2,65	92	100	24,90625	139903975	939,375	-25,3935449	-49,2405725	7580	
