TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
0	0	0	1	600,375	10	2,3	85	90,8125	24,90625	139886740	938	-25,3936941	-49,2407454	5794	
0	0	102	1	600,75	10	2,25	85	90,8125	24,90625	139886740	937,875	-25,3936941	-49,2407454	5422	
0	0	102	1	601,875	10	2,25	85	90,8125	24,90625	139886740	938,25	-25,3936936	-49,2407454	7586	
0	0	0	1	599,5	10	2,3	85	90,8125	24,90625	139886740	938,25	-25,3936928	-49,2407452	6082	
0	0	102	1	601	10	2,25	85	90,8125	24,90625	139886740	938,125	-25,3936928	-49,2407452	5794	
0	0	102	1	599,5	10	2,25	85	90,40625	24,90625	139886740	937	-25,3936923	-49,2407482	5422	
0	0	102	1	600,875	10	2,25	85	90,40625	24,90625	139886740	937	-25,3936898	-49,2407482	7586	
0	0	0	1	601,5	9	2,15	85	90,40625	24,90625	139886740	937	-25,393688	-49,2407484	6082	
0	0	102	1	599,125	10	2,3	85	90,40625	24,90625	139886740	937,25	-25,393687	-49,2407489	5794	
0	0	0	1	599,875	10	2,25	85	90	24,90625	139886740	937	-25,3936857	-49,2407485	5422	
0	0	0	1	598,875	9	2,25	85	90	25	139886740	937	-25,3936845	-49,2407478	7586	
0	0	0	1	599,25	10	2,25	85	90	25	139886740	936,5	-25,3936845	-49,2407478	6082	
0	0	0	1	600,875	10	2,25	85	90	25	139886740	936,5	-25,3936845	-49,240748	5794	
0	0	0	1	600,25	10	2,25	85	90	25	139886740	936,5	-25,3936847	-49,2407482	5422	
0	0	0	1	601,25	10	2,25	85	90	25	139886740	936,5	-25,3936847	-49,2407482	7586	
0	0	0	1	601,25	10	2,25	85	89,84375	25,09375	139886740	936,5	-25,3936832	-49,2407476	6095	
0	22,4	0	1	568,25	16	2,85	85	89,84375	25,09375	139886740	936,5	-25,3936832	-49,2407476	5794	
0	44,8	0	1	662,5	35	8,55	85	89,84375	25,09375	139886740	936	-25,3936847	-49,2407484	5397	
1,09765625	57,2	102	1	918,25	43	15,9	85	89,84375	25,09375	139886740	936	-25,3936847	-49,2407484	7710	
3,296875	57,6	0	1	998,5	40	16,35	85	89,5625	25,09375	139886740	935,5	-25,3936844	-49,2407501	6066	
5,296875	68,4	0	1	1163,375	53	25,55	85	89,5625	25,09375	139886740	935,5	-25,393688	-49,2407529	5860	
7,59765625	73,6	102	1	1286,125	59	30,9	85	89,5625	25,09375	139886740	934,5	-25,3936952	-49,240761	5346	
10	79,2	0	1	1406,625	65	37,5	85	89,5625	25,09375	139886740	934,75	-25,3936952	-49,240761	7732	
12,5	85,6	102	1	1538,5	68	43,25	85	89,5625	25,09375	139886740	935	-25,3937025	-49,2407687	6034	
14,796875	84,8	102	1	1613,75	67	44,65	85	89,5625	25,09375	139886750	935,125	-25,3937291	-49,2407954	5839	
16,5	84,8	0	1	1645,875	62	40,9	85	89,4375	25,09375	139886750	935,125	-25,3937514	-49,2408158	5206	
17,8984375	85,2	0	1	1656,875	63	39,45	84	89,4375	25,09375	139886755	935	-25,3937778	-49,2408407	7709	
18,59765625	80	0	1	1645,625	56	38,35	84	89,4375	25,09375	139886755	935,5	-25,3938074	-49,2408695	6130	
19,3984375	87,6	0	1	1607,25	52	34,35	84	89,4375	25,09375	139886765	935,5	-25,3938409	-49,2409015	5681	
20,296875	87,6	0	2	1025,25	54	20,9	84	89,4375	25,09375	139886765	935,5	-25,3938409	-49,2409015	5168	
21,19921875	90,8	102	2	1081	85	39,35	84	89,4375	25,09375	139886780	935,5	-25,3938409	-49,2409015	7487	
22,69921875	78,8	0	2	1147,5	78	36,2	84	89,15625	25,09375	139886780	936,125	-25,3939356	-49,2409842	6095	
23,796875	76	0	2	1221,875	67	33,4	84	89,15625	25,09375	139886780	936,375	-25,3939356	-49,2409842	5965	
24,796875	73,2	102	2	1232,625	58	25,2	84	89,15625	25,09375	139886785	936,375	-25,3945236	-49,2414736	5257	
24,69921875	60,4	0	2	1246,625	35	17,95	84	89,15625	25,09375	139886785	936,875	-25,3945236	-49,2414736	7833	
24,3984375	59,6	102	2	1232,5	33	16,8	84	89,15625	25,09375	139886815	936,875	-25,3945236	-49,2414736	6099	
24,69921875	68	102	2	1252,125	49	24,85	84	89,15625	25,09375	139886815	936,875	-25,3945236	-49,2414736	5706	
25,09765625	66,8	102	2	1272,875	47	25,8	84	89,15625	25,09375	139886820	936,875	-25,3945236	-49,2414736	5193	
25,296875	56	102	2	1284	27	12,7	84	89,15625	25,09375	139886820	936,75	-25,3945236	-49,2414736	7698	
25,3984375	63,6	102	2	1280,625	39	18,1	84	89,15625	25,09375	139886835	936,75	-25,3945236	-49,2414736	6095	
